year,ogółem,mężczyźni,kobiety,miasto,wieś,w wieku 16-24 lat,w wieku 25-34 lat,w wieku 35-44 lat,w wieku 45-54 lat,w wieku 55-64 lat,w wieku 65-74 lat,wyższe,średnie,niższe,aktywni zawodowo,pracujący,bezrobotni,bierni zawodowo
year,total,males,females,urban area,rural area,aged 16-24,aged 25-34,aged 35-44,aged 45-54,aged 55-64,aged 65-74,tertiary,secondary,primary,economically active,employed,unemployed,economically inactive
2010,10,10,10,12,6,10,18,13,9,4,2,27,7,2,14,15,8,4
2011,9,9,9,11,5,6,16,13,9,5,2,27,6,1,13,14,5,3
2012,11,11,10,13,6,8,19,16,11,6,2,28,8,2,15,16,6,5
2013,11,12,11,15,6,9,20,19,12,6,2,30,8,1,17,18,7,4
2014,15,14,15,18,9,9,28,24,15,7,4,39,10,1,21,23,7,5
2015,16,15,16,19,10,8,28,25,15,10,3,41,10,2,23,25,7,5
2016,19,19,19,23,12,9,32,27,18,12,4,45,12,2,25,27,7,7
2017,21,21,21,26,13,11,35,33,19,12,5,49,14,2,29,30,11,8
2018,25,24,26,30,17,16,39,36,25,14,6,55,17,4,33,35,10,9
2019,31,31,32,37,23,21,47,46,32,21,8,64,23,5,42,44,17,12
2020,34,32,35,39,25,21,53,48,35,23,9,62,25,5,45,46,25,14
