REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,290.6,319.2,319.1,316.0,319.6,320.9,344.4,391.2
Dolnośląskie,,,,,,,,32.9,32.6,31.6,23.6,23.6,23.6,23.6,16.8
Kujawsko-Pomorskie,,,,,,,,18.5,15.6,15.6,15.6,15.6,16.4,16.4,15.7
Lubelskie,,,,,,,,11.2,11.2,12.0,15.2,12.0,14.6,15.5,15.5
Lubuskie,,,,,,,,9.1,23.0,15.7,15.7,21.3,21.3,19.2,21.9
Łódzkie,,,,,,,,39.7,42.4,39.4,40.2,40.3,37.7,38.9,39.3
Małopolskie,,,,,,,,20.5,23.8,23.8,25.3,25.3,28.2,28.2,26.5
Mazowieckie,,,,,,,,23.1,25.6,24.9,24.9,26.6,29.3,33.2,46.7
Opolskie,,,,,,,,10.6,12.0,13.2,13.2,13.2,9.3,8.1,8.1
Podkarpackie,,,,,,,,21.9,26.8,26.8,28.1,27.5,26.3,26.3,28.1
Podlaskie,,,,,,,,16.7,16.7,21.4,21.4,21.4,7.8,9.7,12.2
Pomorskie,,,,,,,,20.8,23.6,23.6,23.6,23.6,23.6,24.6,49.0
Śląskie,,,,,,,,17.3,17.3,19.0,17.3,17.3,17.3,25.1,25.1
Świętokrzyskie,,,,,,,,2.8,6.6,6.8,6.6,6.6,13.2,13.2,13.2
Warmińsko-Mazurskie,,,,,,,,4.6,3.8,3.8,3.8,3.8,3.8,3.8,7.3
Wielkopolskie,,,,,,,,21.9,18.7,18.3,18.3,18.3,22.3,27.9,29.4
Zachodniopomorskie,,,,,,,,19.0,19.5,23.2,23.2,23.2,26.2,30.7,36.4
