REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,,,,,,,158201,174531,236586,229924
Dolnośląskie,,,,,,,,,,,10680,15205,11692,14365
Kujawsko-Pomorskie,,,,,,,,,,,17766,20816,20951,37093
Lubelskie,,,,,,,,,,,7051,4619,969,239
Lubuskie,,,,,,,,,,,0,0,0,0
Łódzkie,,,,,,,,,,,4,74,6,0
Małopolskie,,,,,,,,,,,39855,37668,50991,48494
Mazowieckie,,,,,,,,,,,0,0,21,53
Opolskie,,,,,,,,,,,0,0,0,0
Podkarpackie,,,,,,,,,,,10344,8259,30423,27670
Podlaskie,,,,,,,,,,,86,84,41,39
Pomorskie,,,,,,,,,,,1053,709,2372,796
Śląskie,,,,,,,,,,,4054,8959,16707,17005
Świętokrzyskie,,,,,,,,,,,7622,8590,12682,29
Warmińsko-Mazurskie,,,,,,,,,,,0,0,0,0
Wielkopolskie,,,,,,,,,,,0,0,0,0
Zachodniopomorskie,,,,,,,,,,,59686,69548,89731,84141
