REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,,,,,,,,,,81214,74859,71264,70192,67372
DOLNOŚLĄSKIE,,,,,,,,,,8908,8913,8749,8793,8493
KUJAWSKO-POMORSKIE,,,,,,,,,,5115,4916,4508,4356,4217
LUBELSKIE,,,,,,,,,,1954,1455,1428,1243,1273
LUBUSKIE,,,,,,,,,,2747,2591,2631,2563,2392
ŁÓDZKIE,,,,,,,,,,8104,7839,7158,7316,5958
MAŁOPOLSKIE,,,,,,,,,,1749,2262,1719,1930,1896
MAZOWIECKIE,,,,,,,,,,6904,6370,5837,5576,5442
OPOLSKIE,,,,,,,,,,2034,2098,1943,1960,1815
PODKARPACKIE,,,,,,,,,,1365,1350,1403,1320,1158
PODLASKIE,,,,,,,,,,902,737,738,368,562
POMORSKIE,,,,,,,,,,8613,7489,6425,6558,6416
ŚLĄSKIE,,,,,,,,,,16628,15666,15107,14942,14303
ŚWIĘTOKRZYSKIE,,,,,,,,,,2215,1978,2042,2072,1952
WARMIŃSKO-MAZURSKIE,,,,,,,,,,3214,3053,2989,2973,3464
WIELKOPOLSKIE,,,,,,,,,,5743,3590,4198,3617,3493
ZACHODNIOPOMORSKIE,,,,,,,,,,5019,4552,4389,4605,4538
