REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,,,,20.5,17.7,15.7,12.9,11.2,8.1,7.0,5.8,5.0,6.0,4.9
DOLNOŚLĄSKIE,,,,21.3,17.8,15.4,13.1,11.7,8.6,7.3,5.3,5.1,5.7,5.7
KUJAWSKO-POMORSKIE,,,,19.3,17.1,15.8,11.8,10.9,7.6,7.4,7.2,5.9,5.8,5.1
LUBELSKIE,,,,21.4,17.5,17.5,16.3,12.7,10.7,9.1,7.8,5.2,7.1,5.2
LUBUSKIE,,,,26.3,23.2,19.7,16.3,12.1,7.8,7.0,4.5,4.3,6.0,4.4
ŁÓDZKIE,,,,23.2,20.2,17.3,14.8,14.5,9.8,8.7,8.1,6.1,8.5,6.1
MAŁOPOLSKIE,,,,17.7,15.7,12.7,10.0,9.7,5.7,4.7,3.1,3.1,3.5,2.5
MAZOWIECKIE,,,,17.9,16.1,14.7,12.6,10.3,7.4,6.2,5.0,5.0,5.0,4.8
OPOLSKIE,,,,16.8,17.6,12.6,8.7,8.4,5.4,5.1,4.0,2.2,3.6,3.4
PODKARPACKIE,,,,24.6,19.4,17.9,12.8,11.8,10.0,7.5,5.3,3.7,5.3,2.5
PODLASKIE,,,,23.7,19.5,18.8,15.7,11.7,7.6,7.8,6.4,4.6,6.5,4.5
POMORSKIE,,,,19.0,15.5,16.2,13.2,12.2,8.7,7.3,6.9,5.4,6.3,6.5
ŚLĄSKIE,,,,20.0,18.1,15.4,12.9,9.8,7.0,6.3,4.8,5.4,6.2,5.0
ŚWIĘTOKRZYSKIE,,,,21.4,18.2,18.3,12.1,11.3,9.0,8.4,4.9,3.9,4.2,4.4
WARMIŃSKO-MAZURSKIE,,,,26.9,21.4,16.7,14.5,12.2,9.3,7.3,6.9,5.3,7.5,5.5
WIELKOPOLSKIE,,,,18.1,15.9,14.0,10.9,9.6,7.9,7.0,5.9,5.0,7.2,5.6
ZACHODNIOPOMORSKIE,,,,22.8,20.3,17.1,15.9,14.1,9.1,9.1,10.3,7.2,7.8,5.3
