REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Polska,załadunek łącznie z tranzytem,34222.4,26744.1,25777.8,29719.8,31564.1,31127.1,32927.8,30165.6,30842.0,31768.1,34309.2,34521.6,28670.3,31792.3,30113.6,28332.8
Dolnośląskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Kujawsko-Pomorskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubelskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubuskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Łódzkie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Małopolskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Mazowieckie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Opolskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podkarpackie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podlaskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Pomorskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Śląskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Świętokrzyskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Warmińsko-Mazurskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Wielkopolskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Zachodniopomorskie,załadunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Polska,wyładunek łącznie z tranzytem,31018.5,35497.4,35734.0,36818.7,39503.3,41324.6,40669.0,48174.0,58772.8,74377.7,52212.2,59912.7,72724.5,85672.4,83225.8,88943.1
Dolnośląskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Kujawsko-Pomorskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubelskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Lubuskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Łódzkie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Małopolskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Mazowieckie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Opolskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podkarpackie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Podlaskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Pomorskie,wyładunek łącznie z tranzytem,19164.9,22071.1,23491.7,24203.1,26613.4,28077.5,28221.3,34630.0,43003.0,60254.1,40393.9,47387.1,61916.3,71914.7,70517.9,73399.1
Śląskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Świętokrzyskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Warmińsko-Mazurskie,wyładunek łącznie z tranzytem,33.2,34.2,46.4,55.7,99.8,125.8,80.6,29.9,95.7,88.4,127.1,146.8,28.1,9.1,3.7,x
Wielkopolskie,wyładunek łącznie z tranzytem,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Zachodniopomorskie,wyładunek łącznie z tranzytem,11820.4,13392.1,12195.9,12559.9,12790.1,13121.3,12367.1,13514.1,15674.1,14035.2,11691.2,12378.8,10780.1,13748.6,12704.2,15544.0
