REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,plan gospodarki niskoemisyjnej,,,,,,,,,,,1111,,868,,703
Dolnośląskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,79,,65,,52
Kujawsko-Pomorskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,75,,61,,40
Lubelskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,97,,71,,48
Lubuskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,28,,21,,16
Łódzkie,plan gospodarki niskoemisyjnej,,,,,,,,,,,77,,58,,46
Małopolskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,79,,53,,48
Mazowieckie,plan gospodarki niskoemisyjnej,,,,,,,,,,,133,,118,,90
Opolskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,30,,17,,17
Podkarpackie,plan gospodarki niskoemisyjnej,,,,,,,,,,,79,,62,,53
Podlaskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,41,,31,,27
Pomorskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,50,,34,,26
Śląskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,97,,75,,71
Świętokrzyskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,55,,39,,24
Warmińsko-Mazurskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,40,,38,,29
Wielkopolskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,101,,85,,87
Zachodniopomorskie,plan gospodarki niskoemisyjnej,,,,,,,,,,,50,,40,,29
Polska,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,17,,28,,25
Dolnośląskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,0,,1,,1
Kujawsko-Pomorskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,1,,0,,1
Lubelskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,2,,4,,3
Lubuskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,0,,1,,2
Łódzkie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,0,,1,,0
Małopolskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,1,,1,,1
Mazowieckie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,2,,5,,4
Opolskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,1,,1,,4
Podkarpackie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,2,,2,,1
Podlaskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,0,,0,,2
Pomorskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,2,,1,,1
Śląskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,1,,4,,2
Świętokrzyskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,0,,2,,2
Warmińsko-Mazurskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,2,,3,,1
Wielkopolskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,3,,2,,0
Zachodniopomorskie,lokalny program rozwoju ekonomii społecznej,,,,,,,,,,,0,,0,,0
Polska,program ochrony środowiska,,,,,,,,,,,1053,,1085,,1059
Dolnośląskie,program ochrony środowiska,,,,,,,,,,,61,,68,,61
