REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,27,28,30,32,33,35,37,38,37,38,40,41,43,46
DOLNOŚLĄSKIE,28,30,32,34,36,39,40,42,40,42,43,44,46,49
KUJAWSKO-POMORSKIE,25,26,27,28,29,31,32,34,33,34,36,37,39,42
LUBELSKIE,28,29,31,32,33,35,37,38,37,38,40,41,42,46
LUBUSKIE,28,29,31,32,34,36,38,40,38,39,41,43,44,48
ŁÓDZKIE,26,27,29,30,31,33,35,36,34,35,36,38,39,42
MAŁOPOLSKIE,27,28,30,31,33,35,36,38,37,39,40,41,42,45
MAZOWIECKIE,33,35,37,39,41,43,46,48,44,46,47,49,51,55
OPOLSKIE,27,28,29,30,32,33,35,37,36,38,40,41,43,47
PODKARPACKIE,28,29,30,31,33,34,36,37,36,37,38,39,41,44
PODLASKIE,26,27,28,30,32,33,34,36,34,36,37,38,39,42
POMORSKIE,27,28,30,31,33,35,37,38,35,37,38,39,41,43
ŚLĄSKIE,20,21,22,23,24,26,27,29,27,28,30,31,33,35
ŚWIĘTOKRZYSKIE,25,26,28,29,30,33,34,36,35,37,39,40,42,45
WARMIŃSKO-MAZURSKIE,30,31,33,34,36,38,39,41,40,41,43,44,45,49
WIELKOPOLSKIE,28,30,31,33,34,36,38,40,39,40,41,42,43,46
ZACHODNIOPOMORSKIE,27,29,31,32,34,36,38,41,39,41,43,45,46,50
