REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,13.4,13.0,7.3,6.7,6.4,6.3
Dolnośląskie,,,,,,,,,,11.5,11.9,6.6,6.7,5.3,5.8
Kujawsko-Pomorskie,,,,,,,,,,14.7,13.6,6.4,6.0,4.6,4.7
Lubelskie,,,,,,,,,,11.3,10.2,6.1,5.7,6.0,5.4
Lubuskie,,,,,,,,,,15.3,13.4,6.0,6.1,5.7,5.8
Łódzkie,,,,,,,,,,10.5,8.5,6.2,5.6,5.8,6.6
Małopolskie,,,,,,,,,,14.3,14.3,9.6,9.1,8.2,7.8
Mazowieckie,,,,,,,,,,11.7,11.5,7.1,6.1,5.5,5.8
Opolskie,,,,,,,,,,18.2,16.5,6.4,5.9,5.0,5.0
Podkarpackie,,,,,,,,,,13.8,13.4,8.2,6.9,7.5,5.8
Podlaskie,,,,,,,,,,12.0,12.8,6.3,5.4,5.1,6.8
Pomorskie,,,,,,,,,,15.1,15.5,8.1,8.0,7.3,6.7
Śląskie,,,,,,,,,,14.5,14.2,7.6,6.8,6.7,6.7
Świętokrzyskie,,,,,,,,,,14.4,13.1,6.3,5.0,5.4,5.2
Warmińsko-Mazurskie,,,,,,,,,,15.5,13.1,7.2,6.4,6.8,6.5
Wielkopolskie,,,,,,,,,,12.7,13.5,7.7,7.5,7.6,7.1
Zachodniopomorskie,,,,,,,,,,15.7,15.5,6.9,6.3,6.5,6.2
