REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dolnośląskie,4.6,4.7,5.1,4.9,4.7,4.4,4.6,4.3,3.6,4.0,4.0,3.4,3.4,3.2
Kujawsko-Pomorskie,7.4,6.9,7.5,8.2,8.2,7.7,7.8,7.7,7.7,7.2,7.4,7.2,7.7,8.4
Lubelskie,7.8,8.8,8.0,8.2,7.9,7.7,8.6,8.5,8.2,8.1,8.5,8.0,8.1,6.8
Lubuskie,2.3,2.3,2.1,2.4,2.3,2.3,2.2,1.9,1.9,1.8,1.7,2.1,1.8,1.6
Łódzkie,7.9,8.3,7.6,7.4,8.5,8.1,8.1,7.6,7.4,7.1,8.4,8.3,8.8,9.5
Małopolskie,3.4,4.0,3.4,2.9,3.3,3.0,3.4,3.2,3.1,3.1,3.2,2.9,2.8,4.2
Mazowieckie,15.9,16.8,16.2,16.8,16.3,17.1,16.6,17.8,19.1,17.8,19.4,19.0,18.7,18.7
Opolskie,3.5,3.7,3.8,3.5,3.3,3.1,3.0,2.7,2.8,2.6,2.9,2.8,2.5,2.5
Podkarpackie,2.2,2.1,2.0,2.1,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.8,1.7,1.6
Podlaskie,6.0,6.4,6.2,6.1,6.2,6.6,5.9,6.3,6.5,7.0,6.3,7.4,7.4,6.5
Pomorskie,4.7,4.7,5.0,4.6,4.8,4.5,4.6,4.9,4.7,4.6,4.8,4.6,4.4,4.1
Śląskie,2.8,3.0,3.2,2.8,2.6,2.8,3.0,2.9,2.9,3.6,3.0,2.8,2.4,4.7
Świętokrzyskie,3.1,3.4,3.0,2.9,3.2,3.2,3.7,3.5,3.9,3.3,3.7,3.4,3.1,3.9
Warmińsko-Mazurskie,5.7,5.5,5.9,5.3,5.2,5.3,5.0,5.2,5.1,4.9,4.9,4.9,4.7,4.2
Wielkopolskie,18.4,15.7,16.7,17.7,17.6,18.6,17.9,18.4,18.3,19.8,16.5,17.8,18.4,16.6
Zachodniopomorskie,4.3,3.7,4.3,4.2,4.0,3.7,3.7,3.2,3.0,3.3,3.6,3.6,4.1,3.6
