REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,573278.4,444621.3,560731.0,569096.7,559817.0,578461.9
Dolnośląskie,,,,,,,,,,48722.5,46256.7,47169.7,49188.4,51085.1,50224.6
Kujawsko-Pomorskie,,,,,,,,,,18789.3,17210.1,17459.2,17322.8,18025.3,17815.2
Lubelskie,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Lubuskie,,,,,,,,,,5389.2,5965.7,5281.5,5134.0,5474.7,4440.9
Łódzkie,,,,,,,,,,7323.1,7731.4,7690.6,7644.0,7421.0,7862.7
Małopolskie,,,,,,,,,,105941.5,107442.5,108936.5,111753.5,109837.9,113964.4
Mazowieckie,,,,,,,,,,136894.4,131019.8,129380.2,133412.3,133650.7,140352.9
Opolskie,,,,,,,,,,4975.3,4215.0,4616.5,4773.0,4941.9,4913.8
Podkarpackie,,,,,,,,,,41505.1,41537.1,40885.6,41481.1,39604.2,40861.1
Podlaskie,,,,,,,,,,9089.0,9974.8,10622.2,8901.7,8315.7,8921.9
Pomorskie,,,,,,,,,,4946.9,4697.7,4739.5,4607.5,5012.2,5366.0
Śląskie,,,,,,,,,,148675.8,28628.4,143655.9,143330.8,139537.8,142608.9
Świętokrzyskie,,,,,,,,,,1415.1,581.2,577.4,1276.0,1237.3,1518.3
Warmińsko-Mazurskie,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Wielkopolskie,,,,,,,,,,18639.7,18389.5,19111.8,20153.0,16481.4,20498.7
Zachodniopomorskie,,,,,,,,,,20971.5,20971.4,20604.4,20118.6,19191.8,19112.5
