REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,92066,,96850,98221,,102272,,106711,,110312,
Dolnośląskie,,,,8621,,9156,9595,,10310,,10902,,10544,
Kujawsko-Pomorskie,,,,5057,,5503,5660,,6293,,6410,,6796,
Lubelskie,,,,2638,,2890,2918,,2918,,2982,,3059,
Lubuskie,,,,3279,,3301,3371,,3482,,3526,,3595,
Łódzkie,,,,5550,,5876,5843,,5888,,4881,,6151,
Małopolskie,,,,7694,,7845,8231,,8316,,8410,,8623,
Mazowieckie,,,,12617,,12963,13244,,13605,,14409,,14555,
Opolskie,,,,681,,749,761,,997,,1000,,1055,
Podkarpackie,,,,1344,,1468,1387,,1592,,1662,,1802,
Podlaskie,,,,2632,,2741,2813,,2847,,2960,,2960,
Pomorskie,,,,8050,,8216,8315,,8611,,9084,,9320,
Śląskie,,,,10986,,11248,11337,,11782,,12489,,13062,
Świętokrzyskie,,,,808,,952,868,,856,,895,,878,
Warmińsko-Mazurskie,,,,2550,,2657,2578,,2698,,2663,,2724,
Wielkopolskie,,,,9085,,9436,9236,,9740,,10747,,11189,
Zachodniopomorskie,,,,10474,,11849,12064,,12337,,13691,,13999,
