REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,,,,,,,,57616,66841,77690,87143,100729
Dolnośląskie,,,,,,,,,,4015,4744,6641,8465,9585
Kujawsko-Pomorskie,,,,,,,,,,3684,4080,4448,5186,6099
Lubelskie,,,,,,,,,,3013,3522,3702,4126,4618
Lubuskie,,,,,,,,,,1067,1805,1842,2525,3153
Łódzkie,,,,,,,,,,3768,4174,5306,5787,7158
Małopolskie,,,,,,,,,,4389,5685,6427,7120,8168
Mazowieckie,,,,,,,,,,8649,10383,11839,13514,16780
Opolskie,,,,,,,,,,1785,1605,1873,2001,2329
Podkarpackie,,,,,,,,,,3021,3123,3543,3971,4200
Podlaskie,,,,,,,,,,1452,1757,2193,2123,2541
Pomorskie,,,,,,,,,,3251,4369,5085,5841,6634
Śląskie,,,,,,,,,,9493,9874,10555,9440,10599
Świętokrzyskie,,,,,,,,,,1799,2047,2736,3224,3864
Warmińsko-Mazurskie,,,,,,,,,,1746,2333,2362,2440,2618
Wielkopolskie,,,,,,,,,,4059,4612,5967,7829,8483
Zachodniopomorskie,,,,,,,,,,2425,2728,3171,3551,3900
