REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,6,6,7,7,7,7,7,7,6,7,7,8
Dolnośląskie,,,6,6,6,7,7,7,7,7,6,7,7,8
Kujawsko-Pomorskie,,,7,7,7,7,7,7,7,7,6,7,7,8
Lubelskie,,,6,6,7,7,7,7,7,7,6,7,8,8
Lubuskie,,,6,6,6,6,6,6,6,6,5,6,6,7
Łódzkie,,,7,7,7,7,7,7,7,7,7,8,8,8
Małopolskie,,,6,6,6,7,7,7,7,7,6,7,7,7
Mazowieckie,,,7,7,7,7,7,7,7,8,7,8,8,9
Opolskie,,,5,6,6,6,6,6,6,6,5,6,6,6
Podkarpackie,,,6,6,6,6,6,6,6,6,5,6,6,7
Podlaskie,,,7,7,7,7,7,7,7,7,6,7,7,8
Pomorskie,,,6,6,6,7,7,7,7,7,6,7,7,8
Śląskie,,,7,7,7,7,7,7,7,7,7,7,8,8
Świętokrzyskie,,,6,6,6,6,6,6,6,7,6,6,7,7
Warmińsko-Mazurskie,,,6,6,6,6,6,6,6,6,6,7,7,7
Wielkopolskie,,,6,6,6,7,7,7,7,7,6,7,7,7
Zachodniopomorskie,,,6,6,7,7,7,7,7,7,6,7,7,8
